id,name,category,price
1,Solar Gem,Racing,41.89
2,Neon Bundle,Strategy,39.13
3,Neon Crate,Adventure,155.96
4,Shadow Upgrade,Simulation,56.86
5,Shadow Pass,Simulation,19.93
6,Crimson Crate,Puzzle,32.08
7,Solar Booster,Shooter,29.44
8,Solar Crate,RPG,102.47
9,Shadow Token,Simulation,42.75
10,Shadow Bundle,Casual,21.73
11,Azure Pass,RPG,22.63
12,Neon Upgrade,Casual,18.99
13,Shadow Booster,Strategy,19.83
14,Void Gem,Strategy,68.43
15,Shadow Pass,Adventure,24.04
16,Quantum Bundle,RPG,59.66
17,Legendary Chest,Casual,30.94
18,Shadow Crate,Sports,13.55
19,Shadow Crate,Shooter,13.85
20,Quantum Pack,Sports,18.59
21,Neon Crate,Racing,46.67
22,Quantum Booster,Puzzle,30.32
23,Epic Booster,Sports,8.46
24,Neon Booster,Adventure,17.29
25,Legendary Pass,Adventure,25.74
26,Legendary Upgrade,Adventure,27.53
27,Quantum Chest,Casual,9.96
28,Azure Chest,Shooter,14.38
29,Mystic Token,Racing,22.91
30,Legendary Chest,Strategy,12.41
31,Mystic Gem,Adventure,11.98
32,Mystic Booster,Strategy,20.47
33,Void Pass,Shooter,43.62
34,Epic Booster,Adventure,26.78
35,Crimson Pack,Simulation,15.33
36,Neon Booster,Strategy,27.24
37,Crimson Booster,RPG,17.14
38,Epic Chest,Puzzle,33.06
39,Shadow Upgrade,Strategy,14.66
40,Legendary Upgrade,Shooter,16.59
41,Legendary Booster,Racing,24.61
42,Neon Crate,Puzzle,36.94
43,Epic Bundle,Puzzle,40.01
44,Legendary Crate,Strategy,35.99
45,Void Crate,Strategy,86.08
46,Void Pass,Adventure,29.77
47,Legendary Gem,Simulation,30.44
48,Crimson Booster,Strategy,22.74
49,Legendary Chest,Strategy,15.43
50,Shadow Crate,Adventure,24.01
51,Legendary Token,Puzzle,24.4
52,Neon Upgrade,Adventure,21.92
53,Shadow Gem,Simulation,21.28
54,Crimson Gem,Sports,57.33
55,Void Upgrade,Casual,12.57
56,Neon Pass,Simulation,17.1
57,Void Booster,Simulation,15.93
58,Azure Skin,Strategy,46.22
59,Legendary Pack,Shooter,50.0
60,Solar Chest,Racing,22.36
61,Shadow Upgrade,RPG,16.03
62,Solar Crate,Sports,22.15
63,Neon Skin,Shooter,65.18
64,Epic Gem,Casual,8.07
65,Neon Gem,Casual,25.16
66,Legendary Pass,Casual,21.11
67,Void Crate,Adventure,15.47
68,Legendary Chest,Simulation,32.23
69,Epic Upgrade,Simulation,22.98
70,Shadow Booster,Adventure,14.1
71,Legendary Gem,RPG,69.88
72,Azure Booster,Adventure,13.16
73,Quantum Pack,Casual,25.19
74,Solar Crate,Casual,25.75
75,Azure Skin,Puzzle,33.94
76,Azure Skin,Sports,20.38
77,Quantum Chest,Racing,16.26
78,Mystic Upgrade,Racing,47.94
79,Legendary Crate,Simulation,15.85
80,Legendary Pass,Casual,7.48
81,Neon Pack,Sports,22.06
82,Legendary Booster,Shooter,50.28
83,Neon Chest,Strategy,30.0
84,Shadow Bundle,Adventure,14.79
85,Quantum Token,RPG,32.77
86,Neon Bundle,Racing,22.19
87,Mystic Crate,Strategy,24.28
88,Neon Bundle,Strategy,13.63
89,Solar Chest,Casual,32.61
90,Crimson Pack,Simulation,29.15
91,Solar Bundle,Simulation,14.82
92,Azure Upgrade,Adventure,46.09
93,Solar Booster,Puzzle,26.8
94,Shadow Pass,Shooter,51.29
95,Void Booster,Shooter,13.25
96,Solar Token,Strategy,45.87
97,Crimson Bundle,Sports,25.22
98,Shadow Chest,RPG,27.56
99,Quantum Gem,Simulation,64.13
100,Crimson Skin,Shooter,27.37
101,Crimson Skin,Puzzle,22.91
102,Shadow Upgrade,Casual,27.68
103,Shadow Pack,RPG,39.82
104,Neon Token,Adventure,18.88
105,Crimson Booster,Strategy,12.57
106,Legendary Booster,Sports,15.69
107,Quantum Booster,Sports,22.64
108,Shadow Bundle,Simulation,17.65
109,Crimson Booster,Adventure,19.72
110,Solar Booster,RPG,34.94
111,Mystic Chest,Casual,31.58
112,Quantum Pack,Simulation,10.08
113,Azure Pack,Puzzle,27.55
114,Solar Chest,Puzzle,57.62
115,Solar Bundle,Racing,22.52
116,Void Skin,Casual,16.87
117,Epic Chest,Shooter,92.11
118,Quantum Gem,Simulation,28.15
119,Mystic Chest,Casual,23.65
120,Azure Pass,Shooter,36.81
121,Crimson Crate,Puzzle,18.18
122,Quantum Skin,Adventure,18.89
123,Crimson Gem,Adventure,23.65
124,Shadow Gem,Adventure,48.78
125,Solar Booster,Adventure,56.04
126,Epic Skin,Puzzle,21.41
127,Mystic Bundle,Simulation,13.0
128,Mystic Upgrade,Sports,21.59
129,Neon Token,Adventure,20.52
130,Neon Bundle,Simulation,16.04
131,Azure Bundle,Shooter,36.2
132,Azure Token,Sports,60.26
133,Void Upgrade,Shooter,52.93
